Id,MAC,Entering,Leaving,Staying,PathLength,Speed,Points,Redundancy,GridCoverage,HilbertCoverage,LogisticCoverage,l0PLUMBING,l1ELECTRICITY,l2UNNAMED,l3WOOD,l4PAINTINGS,l5CERAMICS,l6BUILDING,l7UNDEFINED_AREA,FOOVARIABLETOBEPREDICTED
0,198855222702,2017-04-05 08:58:57 UTC,2017-04-05 10:30:12 UTC,5475.0,490.0,0.089497716895,27,66.2337662338,0.4375,0.4375,0.357142857143,0.0,13.8775510204,12.0408163265,0.0,0.0,42.6530612245,27.5510204082,3.87755102041,0
1,198855222702,2017-04-06 08:28:42 UTC,2017-04-06 09:03:22 UTC,2080.0,296.0,0.142307692308,17,49.1620111732,0.5,0.5625,0.428571428571,0.0,5.06756756757,11.4864864865,0.0,15.5405405405,42.5675675676,20.2702702703,5.06756756757,0
2,198855972730,2017-04-03 05:18:40 UTC,2017-04-03 05:42:37 UTC,1437.0,221.0,0.153792623521,8,13.2275132275,0.6875,0.6875,0.357142857143,0.0,10.407239819,27.6018099548,0.0,0.0,32.1266968326,10.8597285068,19.0045248869,0
3,488002909787,2017-03-28 10:42:03 UTC,2017-03-28 11:07:11 UTC,1508.0,132.0,0.0875331564987,3,27.2727272727,0.375,0.375,0.357142857143,0.0,4.54545454545,41.6666666667,0.0,0.0,16.6666666667,31.0606060606,6.06060606061,0
4,1081339390410,2017-04-05 16:57:48 UTC,2017-04-05 17:26:51 UTC,1743.0,340.0,0.195065978199,13,22.480620155,0.6875,0.6875,0.571428571429,0.882352941176,16.4705882353,10.0,7.94117647059,21.7647058824,20.2941176471,14.4117647059,8.23529411765,0
5,2942855742436,2017-03-30 10:59:19 UTC,2017-03-30 11:30:38 UTC,1879.0,142.0,0.075572112826,3,3.6496350365,0.625,0.625,0.357142857143,4.22535211268,30.985915493,27.4647887324,0.0,30.2816901408,0.0,0.0,7.04225352113,0
6,5041186818663,2017-03-31 06:35:43 UTC,2017-03-31 06:41:41 UTC,358.0,95.0,0.265363128492,4,61.4035087719,0.25,0.25,0.285714285714,0.0,0.0,31.5789473684,0.0,0.0,15.7894736842,48.4210526316,4.21052631579,0
7,5118986365106,2017-03-30 05:29:17 UTC,2017-03-30 05:36:47 UTC,450.0,149.0,0.331111111111,4,25.2100840336,0.4375,0.4375,0.428571428571,8.72483221477,31.5436241611,25.5033557047,0.0,0.0,11.4093959732,14.7651006711,8.05369127517,0
8,5118990668711,2017-04-03 15:06:58 UTC,2017-04-03 15:27:31 UTC,1233.0,403.0,0.326845093268,19,22.4358974359,0.9375,0.9375,0.571428571429,2.72952853598,17.617866005,8.93300248139,18.3622828784,5.70719602978,18.6104218362,8.43672456576,19.6029776675,0
9,5118993072143,2017-03-28 08:10:54 UTC,2017-03-28 08:31:41 UTC,1247.0,158.0,0.126704089816,5,24.6031746032,0.5625,0.5625,0.428571428571,10.7594936709,8.22784810127,21.5189873418,6.32911392405,0.0,0.0,23.417721519,29.746835443,0
